*.gov.ru
*.kremlin.ru
*.yandex.ru
*.lenta.ru
*.vk.com
*.facebook.com
*.mail.ru
*.ok.ru
*.odnoklassniki.ru
*.twitter.com
*.youtube.com
*.google.com
*.google.ru
*.instagram.com
*.gfs.ru
*.pfrf.ru
*.mosreg.ru
*.government.ru
*.udprf.ru
*.roskazna.ru
*.cbr.ru
*.mvd.ru
*.rosminzdrav.ru
*.mid.ru
*.mkrf.ru
*.mil.ru
*.minvostokrazvitia.ru
*.minsvyaz.ru
*.mcx.ru
*.minstroyrf.ru
*.mintrans.ru
*.rosmintrud.ru
*.minfin.ru
*.minjust.ru
*.nalog.ru
*.fsb.ru
*.rosreestr.ru
*.gks.ru
*.fsin.su
*.fsvps.ru
*.meteorf.ru
*.rupto.ru
*.rurospotrebnadzor.ru
*.roszdravnadzor.ru
*.rrostransnadzor.ru
*.fsrar.ru
*.fstrf.ru
*.fstec.ru
*.rostrud.ru
*.fedsfm.ru
*.gosnadzor.ru
*.fssprus.ru
*.rosfinnadzor.ru
*.customs.ru
*.фтс.рф
*.fapmc.ru
*.rossvyaz.ru
*.roscosmos.ru
*.fmbaros.ru
*.rosim.ru
uggs.rkomi.ru	91.227.93.62
ksp.rkomi.ru	91.227.93.62
ksrk.rkomi.ru	91.227.93.62
ums.rkomi.ru	91.227.93.62
pgu.rkomi.ru	46.61.145.50
glavarb.ru	62.133.191.186
www.gsrb.ru	77.41.144.162
www.pravitelstvorb.ru	62.133.191.15
house.bashkortostan.ru	62.133.191.149
health.bashkortostan.ru	62.133.191.149
www.mziorb.ru	62.133.191.53
culture.bashkortostan.ru	62.133.191.149
forest.bashkortostan.ru	62.133.191.149
mmps.bashkortostan.ru	62.133.191.149
education.bashkortostan.ru	62.133.191.149
ecology.bashkortostan.ru	62.133.191.149
minpromrb.ru	92.53.126.71
agriculture.bashkortostan.ru	62.133.191.149
www.mintrudrb.ru	62.133.191.35
minfin.bashkortostan.ru	62.133.191.149
minecon.bashkortostan.ru	62.133.191.94
goskomjust.bashkortostan.ru	62.133.191.149
zhilstroynadzor.bashkortostan.ru	62.133.191.149
it.bashkortostan.ru	62.133.191.149
tourism.bashkortostan.ru	62.133.191.149
building.bashkortostan.ru	62.133.191.149
tariff.bashkortostan.ru	62.133.191.149
trade.bashkortostan.ru	62.133.191.149
transport.bashkortostan.ru	62.133.191.149
pressarb.bashkortostan.ru	62.133.191.149
control-technical.bashkortostan.ru	62.133.191.149
veterinary.bashkortostan.ru	62.133.191.149
www.gasrb.ru	62.133.191.176
control-education.bashkortostan.ru	62.133.191.149
mzra.ru	37.140.192.227
мкра.рф	185.26.122.123
www.adygheya.minobr.ru	185.42.12.17
mcx-ra.ru	176.118.130.104
minstroyra.ru	176.118.130.104
www.mintrud-ra.org	178.217.153.14
www.minfin01-maykop.ru	194.79.44.214
minecora.ru	178.210.71.183
zakupkira.ru	37.140.192.180
comraarch.ru	31.31.196.33
adygkomnac.ru	77.222.40.216
komimra.ore.ru	188.166.49.110
adygcomtur.ru	89.111.176.97
olimpsovet-ra.ru	178.20.153.23
nadzor01.ru	185.26.122.123
gosinspra.ru	46.38.56.32
zanad.ru	81.211.91.48
archivera.ru	37.140.192.172
zags-ra.ru	176.118.130.110
adygles.ru	185.26.122.123
nasledieadyg.ru	37.140.192.190
ugfkra.ru	37.140.192.187
ожм01.рф	31.31.196.33
tarifra.ru	195.208.0.145
minfin.krskstate.ru	94.127.253.66
econ.krskstate.ru	94.127.253.66
mpr.krskstate.ru	94.127.253.66
minstroy.krskstate.ru	94.127.253.66
mintrans.krskstate.ru	94.127.253.66
pricekontrol.krskstate.ru	94.127.253.66
gradkontrol.krskstate.ru	94.127.253.66
zags.krskstate.ru	94.127.253.66
it.krskstate.ru	94.127.253.66
apmk.krskstate.ru	94.127.253.66
proks.krskstate.ru	94.127.253.66
112.krskstate.ru	77.240.172.178
gosuslugi.krskstate.ru	109.195.65.226
zakon.krskstate.ru	94.127.253.66
krao.ru	212.41.3.155
kraszdrav.ru	185.24.92.194
krascult.ru	212.41.8.226
szn24.ru	91.197.20.202
krasagro.ru	95.188.76.52
krasrec.ru	37.140.192.202
krasnadzor.ru	185.25.60.160
vetnadzor24.ru	92.53.125.77
krasgtn.ru	94.73.207.17
krasgz.ru	94.127.253.59
mirsud24.ru	95.172.154.217
rabota-enisey.ru	212.41.7.234
krasarh.ru	212.192.193.2
futureagency.ru	91.230.211.138
sobranie.info	212.192.194.10
spkrk.ru	193.106.189.11
tarif29.ru	188.93.17.249
arhzan.ru	81.211.91.48
arkh-edu.ru	91.122.224.53
minzdrav29.ru	92.53.96.220
transport29.ru	77.222.61.155
gosuslugi29.ru	188.130.238.16
pgu-yamal.ru	91.242.171.119
правительство.¤нао.рф	91.242.171.58
apparat-yanao.ru	193.107.236.16
ditis.yanao.ru	91.242.171.234
interyamal.ru	91.242.171.95
dpv.yanao.ru	91.242.171.19
dszn.yanao.ru	91.242.171.95
zanyanao89.regiontrud.ru	81.211.91.48
de.gov.yanao.ru	91.242.171.14
depzdrav.yanao.ru	91.242.171.41
yamaledu.org	89.253.231.88
